slot,time,hour,mean,q05,q95
0,00:00,0,0.7676779455957177,0.5913061734303349,1.0
0,00:00,1,0.23131218746422746,0.0,0.40869382656966513
0,00:00,2,0.0009444405629301587,0.0,0.0
0,00:00,3,0.00006542637715159233,0.0,0.0
0,00:00,4,0.0,0.0,0.0
0,00:00,5,0.0,0.0,0.0
0,00:00,6,0.0,0.0,0.0
0,00:00,7,0.0,0.0,0.0
0,00:00,8,0.0,0.0,0.0
0,00:00,9,0.0,0.0,0.0
0,00:00,10,0.0,0.0,0.0
0,00:00,11,0.0,0.0,0.0
0,00:00,12,0.0,0.0,0.0
0,00:00,13,0.0,0.0,0.0
0,00:00,14,0.0,0.0,0.0
0,00:00,15,0.0,0.0,0.0
0,00:00,16,0.0,0.0,0.0
0,00:00,17,0.0,0.0,0.0
0,00:00,18,0.0,0.0,0.0
0,00:00,19,0.0,0.0,0.0
0,00:00,20,0.0,0.0,0.0
0,00:00,21,0.0,0.0,0.0
0,00:00,22,0.0,0.0,0.0
0,00:00,23,0.0,0.0,0.0
1,00:15,0,0.6980956047582972,0.4959481401767186,1.0
1,00:15,1,0.30093123121962007,0.0,0.5040518598232813
1,00:15,2,0.0009337936812680803,0.0,0.0
1,00:15,3,0.000039370340816563404,0.0,0.0
1,00:15,4,0.0,0.0,0.0
1,00:15,5,0.0,0.0,0.0
1,00:15,6,0.0,0.0,0.0
1,00:15,7,0.0,0.0,0.0
1,00:15,8,0.0,0.0,0.0
1,00:15,9,0.0,0.0,0.0
1,00:15,10,0.0,0.0,0.0
1,00:15,11,0.0,0.0,0.0
1,00:15,12,0.0,0.0,0.0
1,00:15,13,0.0,0.0,0.0
1,00:15,14,0.0,0.0,0.0
1,00:15,15,0.0,0.0,0.0
1,00:15,16,0.0,0.0,0.0
1,00:15,17,0.0,0.0,0.0
1,00:15,18,0.0,0.0,0.0
1,00:15,19,0.0,0.0,0.0
1,00:15,20,0.0,0.0,0.0
1,00:15,21,0.0,0.0,0.0
1,00:15,22,0.0,0.0,0.0
1,00:15,23,0.0,0.0,0.0
2,00:30,0,0.5922541779675567,0.36827203860141244,0.9999999999999999
2,00:30,1,0.39774281232162473,0.0,0.622444657463871
2,00:30,2,0.010001943999556067,0.0,0.06389810404361329
2,00:30,3,1.0657112816958303e-6,0.0,0.0
2,00:30,4,0.0,0.0,0.0
2,00:30,5,0.0,0.0,0.0
2,00:30,6,0.0,0.0,0.0
2,00:30,7,0.0,0.0,0.0
2,00:30,8,0.0,0.0,0.0
2,00:30,9,0.0,0.0,0.0
2,00:30,10,0.0,0.0,0.0
2,00:30,11,0.0,0.0,0.0
2,00:30,12,0.0,0.0,0.0
2,00:30,13,0.0,0.0,0.0
2,00:30,14,0.0,0.0,0.0
2,00:30,15,0.0,0.0,0.0
2,00:30,16,0.0,0.0,0.0
2,00:30,17,0.0,0.0,0.0
2,00:30,18,0.0,0.0,0.0
2,00:30,19,0.0,0.0,0.0
2,00:30,20,0.0,0.0,0.0
2,00:30,21,0.0,0.0,0.0
2,00:30,22,0.0,0.0,0.0
2,00:30,23,0.0,0.0,0.0
3,00:45,0,0.4414437210331437,0.1703133466614451,0.8195556611941823
3,00:45,1,0.49301468499566065,0.18044433880581756,0.6608925716871693
3,00:45,2,0.06547193319824039,0.0,0.2027180317300934
3,00:45,3,0.00006966077294928258,0.0,0.0
3,00:45,4,0.0,0.0,0.0
3,00:45,5,0.0,0.0,0.0
3,00:45,6,0.0,0.0,0.0
3,00:45,7,0.0,0.0,0.0
3,00:45,8,0.0,0.0,0.0
3,00:45,9,0.0,0.0,0.0
3,00:45,10,0.0,0.0,0.0
3,00:45,11,0.0,0.0,0.0
3,00:45,12,0.0,0.0,0.0
3,00:45,13,0.0,0.0,0.0
3,00:45,14,0.0,0.0,0.0
3,00:45,15,0.0,0.0,0.0
3,00:45,16,0.0,0.0,0.0
3,00:45,17,0.0,0.0,0.0
3,00:45,18,0.0,0.0,0.0
3,00:45,19,0.0,0.0,0.0
3,00:45,20,0.0,0.0,0.0
3,00:45,21,0.0,0.0,0.0
3,00:45,22,0.0,0.0,0.0
3,00:45,23,0.0,0.0,0.0
4,01:00,0,0.27985808673449053,0.0,0.6769354507626187
4,01:00,1,0.5614627739282674,0.3230645492373813,0.6937774985181542
4,01:00,2,0.15855914463629103,0.0,0.38075009119531444
4,01:00,3,0.0001199947009405347,0.0,0.0
4,01:00,4,0.0,0.0,0.0
4,01:00,5,0.0,0.0,0.0
4,01:00,6,0.0,0.0,0.0
4,01:00,7,0.0,0.0,0.0
4,01:00,8,0.0,0.0,0.0
4,01:00,9,0.0,0.0,0.0
4,01:00,10,0.0,0.0,0.0
4,01:00,11,0.0,0.0,0.0
4,01:00,12,0.0,0.0,0.0
4,01:00,13,0.0,0.0,0.0
4,01:00,14,0.0,0.0,0.0
4,01:00,15,0.0,0.0,0.0
4,01:00,16,0.0,0.0,0.0
4,01:00,17,0.0,0.0,0.0
4,01:00,18,0.0,0.0,0.0
4,01:00,19,0.0,0.0,0.0
4,01:00,20,0.0,0.0,0.0
