fold,variant,model,date,usable_peak,n_obs,M_true,M_hat_median,M_hat_mean,peak_slot_true,peak_time_mode,C50,C75,C90,risk_raw_C50,risk_raw_C75,risk_raw_C90,risk_platt_C50,risk_platt_C75,risk_platt_C90,event_C50,event_C75,event_C90,nll,n_nll,calibration_status_platt_C50,calibration_status_platt_C75,calibration_status_platt_C90,n_cal_platt_C50,n_cal_platt_C75,n_cal_platt_C90,isotonic_status
f1,main,B0,2021.07.07,true,96,203.0,193.0,193.0,35,35,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,1.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.08,true,96,201.0,206.0,206.0,43,55,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,1.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.09,true,96,192.0,187.0,187.0,59,36,181.0,189.5,198.0,1.0,0.0,0.0,0.666698260943415,0.16699021850734097,0.16699021850734097,1.0,1.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.10,true,96,106.0,112.0,112.0,15,16,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.11,true,96,28.0,28.0,28.0,46,33,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.12,true,96,198.0,185.0,185.0,34,43,181.0,189.5,198.0,1.0,0.0,0.0,0.666698260943415,0.16699021850734097,0.16699021850734097,1.0,1.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.13,false,0,NaN,193.0,193.0,,35,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,NaN,NaN,NaN,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.14,true,96,195.0,203.0,203.0,38,35,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.15,false,0,NaN,201.0,201.0,,43,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,NaN,NaN,NaN,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.16,true,96,197.0,192.0,192.0,47,59,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.17,true,96,110.0,106.0,106.0,5,15,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.18,true,96,28.0,28.0,28.0,4,46,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.19,true,96,222.0,198.0,198.0,45,34,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,1.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.20,true,96,201.0,222.0,222.0,34,45,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,1.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.07,true,96,203.0,193.0,193.0,35,35,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,1.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.08,true,96,201.0,203.0,203.0,43,35,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,1.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.09,true,96,192.0,201.0,201.0,59,43,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.10,true,96,106.0,112.0,112.0,15,16,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.11,true,96,28.0,28.0,28.0,46,33,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.12,true,96,198.0,192.0,192.0,34,59,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,0.0,,,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.13,false,0,NaN,198.0,198.0,,34,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,NaN,NaN,NaN,,,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.14,true,96,195.0,198.0,198.0,38,34,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,0.0,,,ok,ok,ok,7,7,7,not_run
