fold,seed,date,slot,op,observed,y_median,abs_err,s,q0,q1,q2,P00,P01,P02,P10,P11,P12,P20,P21,P22,J00,J01,J02,J10,J11,J12,J20,J21,J22
ar1,0,2021-07-01,0,1,true,72.02719116210938,3.027191162109375,0.026970811602950562,0.13078535447857575,0.0714342180872336,0.7977805358823389,0.9698532819747925,0.0008989984053187072,0.029247738420963287,0.01496383547782898,0.8581085205078125,0.1269277036190033,0.0036022670101374388,0.012557754293084145,0.9838400483131409,0.12684260308742523,0.00011757581523852423,0.0038251755759119987,0.001068929792381823,0.06129830703139305,0.009066981263458729,0.0028738181572407484,0.010018330998718739,0.7848883867263794
ar1,0,2021-07-01,1,1,true,68.80440521240234,0.19559478759765625,0.027132379211252555,0.13078536567627452,0.07143421447835863,0.7977804183028638,0.9745338559150696,0.0006966053624637425,0.024769607931375504,0.01770985685288906,0.8230664730072021,0.15922369062900543,0.0033980754669755697,0.010594071820378304,0.9860077500343323,0.1274547576904297,0.00009110578685067594,0.0032395021989941597,0.00126508972607553,0.058795105665922165,0.011374019086360931,0.002710918430238962,0.008451743982732296,0.7866177558898926
ar1,0,2021-07-01,2,1,true,67.15814208984375,0.15814208984375,0.026748562035209034,0.1314307761276723,0.0673379476647824,0.8012312853243202,0.9796013832092285,0.0005627746577374637,0.0198358204215765,0.020125750452280045,0.7857120633125305,0.19416211545467377,0.003158739535138011,0.008870063349604607,0.9879712462425232,0.1287497729063034,0.00007396590808639303,0.0026070373132824898,0.0013552268501371145,0.052908241748809814,0.013074479065835476,0.002530880970880389,0.007106971926987171,0.7915934324264526
ar1,0,2021-07-01,3,1,true,68.39614486694336,1.3961448669433594,0.0254031767763081,0.13263589154666988,0.06008917582221329,0.8072749339044094,0.9844292402267456,0.00047437811736017466,0.01509638037532568,0.021915940567851067,0.7497873306274414,0.22829669713974,0.002899870742112398,0.007385180331766605,0.9897149205207825,0.130570650100708,0.00006291956378845498,0.002002321882173419,0.0013169108424335718,0.045054104179143906,0.013718160800635815,0.0023409929126501083,0.005961870774626732,0.7989720702171326
ar1,0,2021-07-01,4,1,true,86.59745407104492,3.402545928955078,0.022989537814282812,0.13422853314841632,0.051078891614452004,0.8146925717592239,0.9885854125022888,0.00041707296622917056,0.010997473262250423,0.02290377952158451,0.7197285890579224,0.25736764073371887,0.002636972349137068,0.006128820590674877,0.9912342429161072,0.13269637525081635,0.00005598309508059174,0.001476174802519381,0.0011698997113853693,0.036762937903404236,0.0131460539996624,0.0021483218297362328,0.004993104375898838,0.8075511455535889
ar1,0,2021-07-01,5,1,true,94.54793548583984,5.452064514160156,0.019794558702415088,0.1360145966791606,0.041812026349361986,0.8221733001992106,0.991879403591156,0.00038197162211872637,0.007738626562058926,0.02306836098432541,0.699819028377533,0.2771126329898834,0.0023836842738091946,0.005082945339381695,0.9925333261489868,0.13491007685661316,0.00005195371704758145,0.0010525661054998636,0.0009645348764024675,0.029260851442813873,0.011586640030145645,0.0019598016515374184,0.004179062321782112,0.8160344362258911
ar1,0,2021-07-01,6,1,true,98.16832733154297,11.831672668457031,0.0163332787778927,0.13783440004044678,0.033491864043753594,0.8286736619193107,0.9943195581436157,0.0003635992470663041,0.005316780414432287,0.02251042239367962,0.6934488415718079,0.28404074907302856,0.0021506808698177338,0.004224997479468584,0.9936243295669556,0.13705144822597504,0.00005011649045627564,0.0007328353240154684,0.0007539160433225334,0.02322489395737648,0.00951305404305458,0.0017822126392275095,0.0035011442378163338,0.8233903050422668
ar1,0,2021-07-01,7,1,true,96.37948608398438,18.620513916015625,0.013082097495498601,0.13958757385989884,0.02677615318680182,0.8336361921392381,0.9960319399833679,0.00035863849916495383,0.003609470324590802,0.021380124613642693,0.7025976777076721,0.27602219581604004,0.0019453887362033129,0.0035305118653923273,0.9945241212844849,0.13903367519378662,0.0000500614769407548,0.0005038371891714633,0.0005724775255657732,0.018812863156199455,0.0073908125050365925,0.0016217464581131935,0.002943162340670824,0.8290712833404541
ar1,0,2021-07-01,8,1,true,98.17536163330078,17.82463836669922,0.01031596408574842,0.1412279026408214,0.0218060877523385,0.8369659128366038,0.9971824884414673,0.0003651502192951739,0.0024523339234292507,0.01981537975370884,0.7273890376091003,0.25279557704925537,0.0017722760094329715,0.0029752033296972513,0.9952524900436401,0.14082999527454376,0.000051569397328421474,0.0003463379689492285,0.0004320958978496492,0.0158615093678236,0.005512482486665249,0.0014833345776423812,0.00249014375731349,0.832992434501648
ar1,0,2021-07-01,9,1,true,99.56089782714844,13.439102172851562,0.008107678509986727,0.1427454117911111,0.018403223191853613,0.8388511978555471,0.9979285001754761,0.0003820639685727656,0.0016893866704776883,0.017920514568686485,0.7655885219573975,0.2164909541606903,0.0016335665713995695,0.0025364954490214586,0.9958298802375793,0.14244972169399261,0.000054537882533622906,0.00024115221458487213,0.00032979523530229926,0.014089296571910381,0.003984131384640932,0.0013703193981200457,0.0021277423948049545,0.8353531360626221
ar1,0,2021-07-01,10,1,true,99.10389709472656,11.896102905273438,0.00641182884646696,0.14414983232927625,0.016271576896542683,0.8395784443709999,0.9983957409858704,0.00040881489985622466,0.0011953739449381828,0.01578632928431034,0.8123382925987244,0.17187540233135223,0.001530095119960606,0.0021944327745586634,0.9962755441665649,0.14391858875751495,0.00005893060369999148,0.00017231296806130558,0.00025686845765449107,0.013218024745583534,0.002796683693304658,0.001284634810872376,0.0018423983128741384,0.8364514112472534
ar1,0,2021-07-01,11,1,true,96.58597564697266,15.414024353027344,0.005145927549165208,0.1454600932847825,0.015119353192858398,0.8394204060314223,0.9986754059791565,0.00044505822006613016,0.0008795746834948659,0.013526313938200474,0.8608407974243164,0.1256328970193863,0.0014621956506744027,0.001932109473273158,0.996605634689331,0.14526741206645966,0.00006473820394603536,0.00012794301437679678,0.00020450912415981293,0.013015355914831161,0.0018994881538674235,0.001227396889589727,0.0016218521632254124,0.8365711569786072
ar1,0,2021-07-01,12,1,true,87.30965042114258,7.690349578857422,0.004233266205119435,0.1466993057183572,0.014701945357955992,0.8385986250359565,0.9988288283348083,0.0004904185188934207,0.0006807305617257953,0.011290379799902439,0.9043503999710083,0.08435922116041183,0.0014304866781458259,0.0017357768956571817,0.9968337416648865,0.146527498960495,0.00007194405770860612,0.00009986270015360788,0.00016599055379629135,0.01329571008682251,0.001240244717337191,0.0011996041284874082,0.0014556200476363301,0.8359434008598328
ar1,0,2021-07-01,13,1,true,98.38417053222656,10.615829467773438,0.0036127622151980177,0.14789308316539973,0.014823273071669973,0.8372835551854223,0.9988960027694702,0.0005442664842121303,0.0005597007111646235,0.009235803037881851,0.9385112524032593,0.05225292220711708,0.0014365669339895248,0.001594698871485889,0.9969688057899475,0.1477298140525818,0.00008049324969761074,0.00008277586312033236,0.00013690484047401696,0.013911808840930462,0.0007745593902654946,0.0012028138153254986,0.0013352150563150644,0.8347455263137817
ar1,0,2021-07-01,14,1,true,97.65049362182617,14.349506378173828,0.0032346920561394654,0.14906953510217136,0.015327515779063106,0.8356029669521376,0.9989014863967896,0.000605531909968704,0.0004929568967781961,0.007478621322661638,0.9623555541038513,0.030165772885084152,0.001483669737353921,0.0015009368071332574,0.9970154762268066,0.14890578389167786,0.0000902663596207276,0.00007348485087277368,0.00011462869588285685,0.014750520698726177,0.0004623663844540715,0.0012397586833685637,0.0012541870819404721,0.8331090211868286
